"Title:","Breast from the Incidence of Cancer (SEER) [Archive] Database"
"SubTitle:","SEER Registry - Age: All Ages - Gender: All Genders"
"Time:","1975 - 2016"
"Unit of Measure:","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#"
"Citation:","National Cancer Institute (2018-09-04). Incidence of Cancer (SEER) [Archive]: Breast | Alaska, Connecticut (1973), Greater California (excluding SF, Los Angeles & SJ), Greater Georgia (excluding AT and RG), Hawaii (1973), Iowa (1973), Kentucky, Los Angeles*, Louisiana, Metropolitan Atlanta (1975), Metropolitan Detroit (1973), New Jersey, New Mexico (1973), Rural Georgia, San Francisco-Oakland SMSA (1973), San Jose-Monterey, Seattle (Puget Sound) (1974), Utah (1973) | All Ages | All Genders | Other (American Indian/Alaska Native, Asian/Pacific Islander) | White | Black | Asian or Pacific Islander, 1975 - 2016. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  031-001-001 doi:https://doi.org/10.6068/DP1845CA99F0722"
"ColumnCount:",70
"RowCount:",42

"Time","Alaska, All Ages, All Genders, Other (American Indian/Alaska Native, Asian/Pacific Islander), #","Connecticut (1973), All Ages, All Genders, White, #","Connecticut (1973), All Ages, All Genders, Black, #","Connecticut (1973), All Ages, All Genders, Other (American Indian/Alaska Native, Asian/Pacific Islander), #","Connecticut (1973), All Ages, All Genders, Asian or Pacific Islander, #","Greater California (excluding SF, Los Angeles & SJ), All Ages, All Genders, White, #","Greater California (excluding SF, Los Angeles & SJ), All Ages, All Genders, Black, #","Greater California (excluding SF, Los Angeles & SJ), All Ages, All Genders, Other (American Indian/Alaska Native, Asian/Pacific Islander), #","Greater California (excluding SF, Los Angeles & SJ), All Ages, All Genders, Asian or Pacific Islander, #","Greater Georgia (excluding AT and RG), All Ages, All Genders, White, #","Greater Georgia (excluding AT and RG), All Ages, All Genders, Black, #","Greater Georgia (excluding AT and RG), All Ages, All Genders, Other (American Indian/Alaska Native, Asian/Pacific Islander), #","Greater Georgia (excluding AT and RG), All Ages, All Genders, Asian or Pacific Islander, #","Hawaii (1973), All Ages, All Genders, White, #","Hawaii (1973), All Ages, All Genders, Black, #","Hawaii (1973), All Ages, All Genders, Other (American Indian/Alaska Native, Asian/Pacific Islander), #","Hawaii (1973), All Ages, All Genders, Asian or Pacific Islander, #","Iowa (1973), All Ages, All Genders, White, #","Iowa (1973), All Ages, All Genders, Black, #","Iowa (1973), All Ages, All Genders, Other (American Indian/Alaska Native, Asian/Pacific Islander), #","Iowa (1973), All Ages, All Genders, Asian or Pacific Islander, #","Kentucky, All Ages, All Genders, White, #","Kentucky, All Ages, All Genders, Black, #","Kentucky, All Ages, All Genders, Other (American Indian/Alaska Native, Asian/Pacific Islander), #","Kentucky, All Ages, All Genders, Asian or Pacific Islander, #","Los Angeles*, All Ages, All Genders, White, #","Los Angeles*, All Ages, All Genders, Black, #","Los Angeles*, All Ages, All Genders, Other (American Indian/Alaska Native, Asian/Pacific Islander), #","Los Angeles*, All Ages, All Genders, Asian or Pacific Islander, #","Louisiana, All Ages, All Genders, White, #","Louisiana, All Ages, All Genders, Black, #","Louisiana, All Ages, All Genders, Other (American Indian/Alaska Native, Asian/Pacific Islander), #","Louisiana, All Ages, All Genders, Asian or Pacific Islander, #","Metropolitan Atlanta (1975), All Ages, All Genders, White, #","Metropolitan Atlanta (1975), All Ages, All Genders, Black, #","Metropolitan Atlanta (1975), All Ages, All Genders, Other (American Indian/Alaska Native, Asian/Pacific Islander), #","Metropolitan Atlanta (1975), All Ages, All Genders, Asian or Pacific Islander, #","Metropolitan Detroit (1973), All Ages, All Genders, White, #","Metropolitan Detroit (1973), All Ages, All Genders, Black, #","Metropolitan Detroit (1973), All Ages, All Genders, Other (American Indian/Alaska Native, Asian/Pacific Islander), #","Metropolitan Detroit (1973), All Ages, All Genders, Asian or Pacific Islander, #","New Jersey, All Ages, All Genders, White, #","New Jersey, All Ages, All Genders, Black, #","New Jersey, All Ages, All Genders, Other (American Indian/Alaska Native, Asian/Pacific Islander), #","New Jersey, All Ages, All Genders, Asian or Pacific Islander, #","New Mexico (1973), All Ages, All Genders, White, #","New Mexico (1973), All Ages, All Genders, Black, #","New Mexico (1973), All Ages, All Genders, Other (American Indian/Alaska Native, Asian/Pacific Islander), #","New Mexico (1973), All Ages, All Genders, Asian or Pacific Islander, #","Rural Georgia, All Ages, All Genders, White, #","Rural Georgia, All Ages, All Genders, Black, #","Rural Georgia, All Ages, All Genders, Other (American Indian/Alaska Native, Asian/Pacific Islander), #","Rural Georgia, All Ages, All Genders, Asian or Pacific Islander, #","San Francisco-Oakland SMSA (1973), All Ages, All Genders, White, #","San Francisco-Oakland SMSA (1973), All Ages, All Genders, Black, #","San Francisco-Oakland SMSA (1973), All Ages, All Genders, Other (American Indian/Alaska Native, Asian/Pacific Islander), #","San Francisco-Oakland SMSA (1973), All Ages, All Genders, Asian or Pacific Islander, #","San Jose-Monterey, All Ages, All Genders, White, #","San Jose-Monterey, All Ages, All Genders, Black, #","San Jose-Monterey, All Ages, All Genders, Other (American Indian/Alaska Native, Asian/Pacific Islander), #","San Jose-Monterey, All Ages, All Genders, Asian or Pacific Islander, #","Seattle (Puget Sound) (1974), All Ages, All Genders, White, #","Seattle (Puget Sound) (1974), All Ages, All Genders, Black, #","Seattle (Puget Sound) (1974), All Ages, All Genders, Other (American Indian/Alaska Native, Asian/Pacific Islander), #","Seattle (Puget Sound) (1974), All Ages, All Genders, Asian or Pacific Islander, #","Utah (1973), All Ages, All Genders, White, #","Utah (1973), All Ages, All Genders, Black, #","Utah (1973), All Ages, All Genders, Other (American Indian/Alaska Native, Asian/Pacific Islander), #","Utah (1973), All Ages, All Genders, Asian or Pacific Islander, #"
"1975",,1801,63,,2,,,,,,,,,112,,,198,1496,11,1,,,,,,,,,,,,,,546,121,1,,1664,281,1,4,,,,,357,5,5,2,,,,,1681,163,,57,,,,,1177,23,7,7,420,3,,
"1976",,1702,60,,3,,,,,,,,,115,3,,173,1463,11,1,2,,,,,,,,,,,,,563,120,2,,1668,258,2,7,,,,,405,9,8,,,,,,1564,133,2,79,,,,,1204,19,9,9,403,1,1,4
"1977",,1721,54,,1,,,,,,,,,119,4,,191,1478,10,,,,,,,,,,,,,,,587,127,1,3,1561,289,1,6,,,,,433,9,6,,,,,,1579,134,4,90,,,,,1095,19,4,17,396,1,,1
"1978",,1705,55,,3,,,,,,,,,119,1,,184,1513,13,,1,,,,,,,,,,,,,568,131,,,1555,281,1,2,,,,,438,10,10,1,,,,,1587,155,1,74,,,,,1214,17,6,16,438,1,2,1
"1979",,1777,76,1,2,,,,,,,,,116,4,,217,1567,10,1,1,,,,,,,,,,,,,546,118,,1,1654,291,2,4,,,,,426,3,12,2,,,,,1560,161,3,101,,,,,1290,30,13,19,478,4,,4
"1980",,1834,65,,4,,,,,,,,,126,2,,209,1597,10,1,,,,,,,,,,,,,,607,130,1,,1585,333,,,,,,,465,6,11,,,,,,1683,153,1,92,,,,,1301,31,10,18,435,2,1,9
"1981",,1947,68,,3,,,,,,,,,128,,,224,1639,12,2,4,,,,,,,,,,,,,612,161,,1,1795,358,2,8,,,,,485,2,12,,,,,,1643,147,1,93,,,,,1427,36,11,26,472,,,4
"1982",,1914,82,,8,,,,,,,,,143,2,,232,1550,13,2,3,,,,,,,,,,,,,671,142,,2,1847,363,1,3,,,,,484,7,11,,,,,,1807,160,9,101,,,,,1385,39,10,29,486,2,,3
"1983",,2043,80,2,5,,,,,,,,,133,2,,240,1660,18,1,1,,,,,,,,,,,,,686,185,,3,1937,375,,8,,,,,527,9,6,,,,,,1820,204,3,136,,,,,1570,28,17,22,570,8,,4
"1984",,2197,111,2,7,,,,,,,,,161,5,1,258,1749,18,1,2,,,,,,,,,,,,,771,146,,2,1965,412,,9,,,,,600,9,10,2,,,,,2038,201,3,155,,,,,1660,49,8,34,636,2,,3
"1985",,2331,109,,7,,,,,,,,,165,4,,340,1870,13,2,4,,,,,,,,,,,,,942,210,,5,2140,458,2,15,,,,,617,4,15,2,,,,,2295,228,6,179,,,,,1930,42,11,42,622,2,2,7
"1986",,2378,100,,6,,,,,,,,,197,1,1,402,2041,18,,3,,,,,,,,,,,,,928,243,1,5,2218,454,4,12,,,,,657,9,24,,,,,,2366,269,4,192,,,,,2026,40,21,42,725,2,1,4
"1987",,2654,120,2,9,,,,,,,,,212,2,4,423,2169,23,2,1,,,,,,,,,,,,,1033,251,,5,2543,476,1,16,,,,,764,10,14,2,,,,,2541,223,2,195,,,,,2357,37,23,46,768,,3,2
"1988",,2690,142,3,15,,,,,,,,,223,1,1,403,2313,13,1,2,,,,,,,,,,,,,1039,258,,4,2449,525,2,13,,,,,735,9,17,4,,,,,2384,283,4,220,,,,,2275,50,14,54,752,3,,7
