"Title:","Vehicles in Fatal Crashes, by Vehicle Make / Model Year from the Fatal Traffic Accidents: Vehicles Involved Database"
"SubTitle:","USA - Model: All Models - Vehicle Year: All Vehicle Years"
"Time:","01/1975 - 12/2020"
"Unit of Measure:","#","#","#","#","#","#","#","#"
"Citation:","National Highway Traffic Safety Administration (2022-05-06). Fatal Traffic Accidents: Vehicles Involved: Vehicles in Fatal Crashes, by Vehicle Make / Model Year | Automobiles | Motorcycles | Acura | BMW | Cadillac | Chevrolet | Datsun/Nissan | Honda | All Models | All Vehicle Years, 01/1975 - 12/2020. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  023-004-006 doi:https://doi.org/10.6068/DP1845C91B14C16"
"ColumnCount:",9
"RowCount:",552

"Time","Automobiles, Acura, All Models, All Vehicle Years, #","Automobiles, BMW, All Models, All Vehicle Years, #","Automobiles, Cadillac, All Models, All Vehicle Years, #","Automobiles, Chevrolet, All Models, All Vehicle Years, #","Automobiles, Datsun/Nissan, All Models, All Vehicle Years, #","Automobiles, Honda, All Models, All Vehicle Years, #","Motorcycles, BMW, All Models, All Vehicle Years, #","Motorcycles, Honda, All Models, All Vehicle Years, #"
"01/1975",,,90,1734,84,48,,
"02/1975",,,102,1622,88,64,,
"03/1975",,,112,1856,102,68,,
"04/1975",,,114,1810,102,104,,
"05/1975",,,130,2162,114,172,,
"06/1975",,,136,2246,128,204,,
"07/1975",,,156,2342,134,210,,
"08/1975",,,142,2384,130,166,,
"09/1975",,,134,2174,158,198,,
"10/1975",,,128,2190,110,146,,
"11/1975",,,144,2336,132,128,,
"12/1975",,,134,2280,144,80,,
"01/1976",,,110,1704,90,46,,
"02/1976",,,122,1762,86,74,,
"03/1976",,,124,1758,90,106,,
"04/1976",,,104,2026,128,112,,
"05/1976",,,132,2228,146,206,,
"06/1976",,,138,2082,150,144,,
"07/1976",,,134,2414,216,228,,
"08/1976",,,118,2296,168,246,,
"09/1976",,,120,2210,140,188,,
"10/1976",,,160,2352,180,144,,
"11/1976",,,120,2092,130,122,,
"12/1976",,,156,2324,166,114,,
"01/1977",,,132,1526,138,104,,
"02/1977",,4,76,1618,144,96,,
"03/1977",,20,118,1894,144,188,,
"04/1977",,14,138,2114,122,268,,
"05/1977",,26,134,2308,154,378,,
"06/1977",,14,136,2378,206,392,,
"07/1977",,18,100,2620,224,602,,
"08/1977",,34,118,2598,180,416,,
"09/1977",,24,128,2278,170,346,,
"10/1977",,32,102,2570,198,294,,
"11/1977",,18,148,2344,186,196,,
"12/1977",,14,154,2480,214,130,,
"01/1978",,12,108,1620,132,94,,
"02/1978",,8,130,1466,156,116,,
"03/1978",,12,134,2030,178,158,,
"04/1978",,16,134,2272,204,312,,
"05/1978",,18,164,2396,268,456,,
"06/1978",,18,174,2474,214,510,,
"07/1978",,16,152,2652,260,562,,
"08/1978",,24,178,2782,240,548,,
"09/1978",,20,156,2770,242,458,,
"10/1978",,32,162,2730,242,310,,
"11/1978",,18,130,2560,200,226,,
"12/1978",,16,172,2646,238,202,,
"01/1979",,8,138,1774,194,122,,
"02/1979",,12,110,1846,156,122,,
"03/1979",,12,156,2374,236,264,,
"04/1979",,18,144,2392,268,350,,
"05/1979",,18,116,2346,248,478,,
"06/1979",,32,128,2240,266,520,,
"07/1979",,24,138,2406,262,516,,
"08/1979",,24,130,2436,238,542,,
"09/1979",,26,140,2616,218,430,,
"10/1979",,18,200,2716,248,276,,
"11/1979",,12,134,2516,226,198,,
"12/1979",,34,194,2706,306,220,,
"01/1980",,16,96,1916,214,128,,
"02/1980",,6,128,1872,214,166,,
"03/1980",,20,108,2024,240,218,,
"04/1980",,10,118,1920,240,342,,
"05/1980",,30,152,2368,272,522,,
"06/1980",,38,140,2534,342,536,,
"07/1980",,30,144,2486,306,580,,
"08/1980",,42,186,2930,332,590,,
"09/1980",,32,136,2482,260,458,,
"10/1980",,22,170,2372,270,286,,
"11/1980",,20,144,2358,312,228,,
"12/1980",,20,176,2444,294,172,,
"01/1981",,30,132,2064,222,154,,
"02/1981",,30,142,1852,246,206,,
"03/1981",,12,140,2064,252,272,,
"04/1981",,12,138,2154,302,342,,
"05/1981",,12,152,2200,270,378,,
"06/1981",,38,128,2222,342,436,,
"07/1981",,36,170,2424,350,560,,
"08/1981",,26,146,2434,292,588,,
"09/1981",,24,170,2144,296,476,,
"10/1981",,22,156,2402,298,294,,
"11/1981",,16,146,2234,234,240,,
"12/1981",,22,164,2256,278,200,,
"01/1982",,14,106,1700,268,156,,
"02/1982",,18,110,1580,212,194,,
"03/1982",,24,106,1820,274,244,,
"04/1982",,28,130,1974,246,294,,
"05/1982",,20,138,2020,294,478,,
"06/1982",,30,130,2080,314,410,,
"07/1982",,46,94,2130,316,474,,
"08/1982",,24,110,2122,296,498,,
"09/1982",,34,112,2176,284,390,,
"10/1982",,26,136,2234,320,306,,
"11/1982",,18,154,1948,304,198,,
"12/1982",,28,130,2100,330,218,,
"01/1983",,16,116,1546,260,198,,
"02/1983",,18,110,1552,216,172,,
"03/1983",,30,126,1614,260,196,,
"04/1983",,24,106,1798,292,312,,
"05/1983",,24,112,1884,314,410,,
"06/1983",,28,110,1908,324,426,,
"07/1983",,32,126,2150,290,562,,
"08/1983",,22,112,2150,366,550,,
"09/1983",,26,144,2018,300,464,,
"10/1983",,18,168,2262,312,368,,
"11/1983",,16,144,1992,316,230,,
"12/1983",,12,136,1998,384,238,,
"01/1984",,14,106,1530,246,206,,
"02/1984",,18,98,1562,248,234,,
"03/1984",,22,128,1772,288,300,,
"04/1984",,22,126,1672,336,308,,
"05/1984",,30,120,1850,296,500,,
"06/1984",,28,146,2012,348,558,,
"07/1984",,28,168,2086,370,568,,
"08/1984",,26,140,2092,358,638,,
"09/1984",,34,142,2178,376,578,,
"10/1984",,24,116,2126,394,398,,
"11/1984",,30,124,2036,424,268,,
"12/1984",,10,134,2016,350,360,,
"01/1985",,20,122,1652,294,176,,
"02/1985",,24,100,1552,228,220,,
"03/1985",,18,108,1796,344,374,,
"04/1985",,32,136,1884,348,494,,
"05/1985",,26,162,2020,380,590,,
"06/1985",,32,156,2208,428,620,,
"07/1985",,28,102,2118,374,692,,
"08/1985",,38,138,2170,382,588,,
"09/1985",,22,112,2068,328,488,,
"10/1985",,44,148,2108,392,428,,
"11/1985",,28,106,2074,388,308,,
"12/1985",,24,130,1916,384,238,,
"01/1986",,22,98,1776,378,226,,
"02/1986",,20,108,1544,250,218,,
"03/1986",,16,112,1798,356,354,,
"04/1986",,34,118,1914,326,406,,
"05/1986",,42,140,2090,402,536,,
"06/1986",,28,134,2144,432,598,,
"07/1986",,38,144,2180,434,704,,
"08/1986",,20,176,2426,472,636,,
"09/1986",,34,164,2086,366,488,,
"10/1986",,32,138,2190,428,386,,
"11/1986",,34,144,2102,434,384,,
"12/1986",,20,170,2042,400,314,,
"01/1987",,34,102,1712,410,238,,
"02/1987",,20,106,1624,324,244,,
"03/1987",,20,106,1824,398,338,,
"04/1987",,32,160,1902,404,412,,
"05/1987",,40,168,2022,462,584,,
"06/1987",,36,144,2144,416,574,,
"07/1987",,26,140,2090,406,612,,
"08/1987",,42,150,2456,536,596,,
"09/1987",,48,132,2204,448,514,,
"10/1987",,38,172,2390,442,484,,
"11/1987",,46,160,2266,442,350,,
"12/1987",,28,152,2168,430,338,,
"01/1988",,28,126,1728,402,214,,
"02/1988",,34,124,1664,346,274,,
"03/1988",,42,130,1804,394,348,,
"04/1988",,38,112,2012,406,428,,
"05/1988",,38,132,2022,474,510,,
"06/1988",,48,136,2178,438,542,,
"07/1988",,40,130,2294,454,524,,
"08/1988",,52,130,2318,474,600,,
"09/1988",,34,140,2338,496,506,,
"10/1988",,34,152,2242,482,436,,
"11/1988",,40,142,2198,544,342,,
"12/1988",,50,154,2278,482,308,,
"01/1989",,26,124,1754,472,288,,
"02/1989",,20,128,1618,356,238,,
"03/1989",,28,136,1870,446,358,,
"04/1989",,40,128,1848,472,402,,
"05/1989",,50,116,2014,386,490,,
"06/1989",,40,138,2010,418,446,,
"07/1989",,48,140,2158,432,576,,
"08/1989",,26,118,2150,474,500,,
"09/1989",,46,132,2240,456,464,,
"10/1989",,18,156,2202,464,416,,
"11/1989",,34,144,1920,398,346,,
"12/1989",,44,144,2118,466,360,,
"01/1990",,26,112,1762,344,248,,
"02/1990",,24,114,1480,348,250,,
"03/1990",,26,128,1876,392,368,,
"04/1990",,20,130,1808,430,408,,
"05/1990",,54,152,1942,410,428,,
"06/1990",,34,154,2034,422,530,,
"07/1990",,66,160,2302,438,574,,
"08/1990",,34,124,2164,446,544,,
"09/1990",,40,120,1926,504,514,,
"10/1990",,34,118,1924,424,390,,
"11/1990",,42,108,1858,388,372,,
"12/1990",,48,156,1858,390,330,,
"01/1991",30,28,118,804,216,152,,20
"02/1991",8,36,106,822,234,138,,28
"03/1991",28,24,116,956,340,180,2,48
"04/1991",16,24,96,1002,192,186,,98
"05/1991",20,32,130,998,262,224,2,156
"06/1991",20,30,102,1114,280,232,,180
"07/1991",10,34,132,1032,344,210,2,172
"08/1991",22,24,148,1146,318,238,4,162
"09/1991",24,30,114,1078,256,202,8,132
"10/1991",14,34,128,1144,232,232,2,88
"11/1991",22,30,114,1008,312,246,,52
"12/1991",24,28,102,938,270,224,2,34
"01/1992",10,24,106,844,232,176,,34
"02/1992",18,34,100,826,230,194,4,22
"03/1992",20,12,108,926,230,198,,64
"04/1992",20,22,116,800,240,180,4,102
"05/1992",20,36,154,1040,244,216,2,132
"06/1992",32,40,144,996,284,204,6,186
"07/1992",24,26,150,946,274,182,,122
"08/1992",32,28,152,1052,278,216,6,154
"09/1992",14,24,104,936,256,192,6,120
"10/1992",26,26,150,1110,292,274,,78
"11/1992",26,16,118,936,288,254,,70
"12/1992",28,42,106,948,282,268,,26
"01/1993",26,40,116,844,216,192,,46
